Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,false,false,false,true,5
3,true,true,false,false,4
4,false,true,false,false,4
5,true,true,false,true,4
6,false,false,false,false,3
7,true,true,true,true,3
8,true,true,true,false,4
9,false,false,true,false,1
10,true,true,false,true,1
11,true,true,false,true,1
12,true,false,true,true,5
13,true,false,false,true,5
14,false,false,false,true,5
15,false,false,false,true,5
16,false,false,true,true,5
17,true,false,false,true,5
18,true,true,false,true,5
19,true,false,true,false,0
20,true,false,false,false,2
21,true,true,false,true,2
22,false,false,true,true,5
23,true,true,false,true,5
24,true,false,true,false,0
25,true,true,false,false,4
26,false,true,false,false,4
27,false,true,true,false,4
28,false,true,false,true,4
29,true,true,false,true,4
30,false,true,false,false,4
31,false,true,true,false,4
32,true,true,true,true,4
