Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,true,false,4
2,false,false,true,false,1
3,false,false,true,false,1
4,false,true,true,false,4
5,true,true,false,true,4
6,false,false,false,false,3
7,true,true,true,true,3
8,true,false,false,true,5
9,false,false,false,true,5
10,true,false,true,true,5
11,false,true,false,false,4
12,true,true,false,true,4
13,false,true,false,false,4
14,true,true,false,false,4
15,false,false,false,false,3
16,false,false,true,false,1
17,true,false,true,false,0
18,false,false,true,true,5
19,true,true,true,true,5
20,true,false,false,false,2
21,true,false,true,false,0
22,false,true,true,true,0
23,false,false,true,true,5
24,true,false,true,true,5
25,true,false,true,false,0
26,true,true,true,true,0
