Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,false,1
2,false,false,false,true,5
3,true,false,false,true,5
4,true,true,false,true,5
5,true,false,true,false,0
6,false,true,true,false,4
7,true,true,false,true,4
8,true,false,false,true,5
9,false,true,false,false,4
10,true,false,false,true,5
11,false,false,false,true,5
12,false,false,true,true,5
13,false,false,true,false,1
14,true,true,true,false,4
15,false,true,true,true,4
16,false,false,false,false,3
17,false,true,false,true,3
18,false,false,false,true,5
19,true,false,true,true,5
20,true,true,false,false,4
21,true,true,true,false,4
22,false,true,false,false,4
23,true,false,true,true,5
24,true,false,true,false,0
25,true,true,true,true,0
26,false,true,true,true,0
27,true,false,false,true,5
