Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,false,false,true,false,1
3,true,true,true,true,1
4,true,true,true,false,4
5,false,false,false,false,3
6,true,false,true,false,0
7,true,true,false,false,4
8,true,false,true,false,0
9,false,false,false,false,3
10,true,false,false,false,2
11,false,false,true,false,1
12,false,true,true,false,4
13,true,true,false,true,4
14,false,true,false,true,4
15,false,false,false,false,3
16,false,false,false,true,5
17,true,true,false,true,5
18,true,false,true,false,0
19,true,false,false,false,2
20,true,true,true,true,2
21,false,true,false,false,4
22,false,false,false,true,5
23,true,true,true,true,5
24,false,true,true,true,5
