Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,false,false,3
2,true,false,true,false,0
3,false,true,true,false,4
4,false,false,false,true,5
5,false,false,false,false,3
6,true,false,true,true,5
7,true,false,false,false,2
8,true,false,false,true,5
9,true,false,true,false,0
10,false,false,false,true,5
11,true,false,true,false,0
12,true,false,false,false,2
13,false,true,false,false,4
14,false,false,true,false,1
15,false,false,false,false,3
16,false,true,false,false,4
17,true,true,true,false,4
18,true,true,true,true,4
19,false,true,false,false,4
