Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,true,true,false,true,3
3,false,true,false,true,3
4,true,false,false,false,2
5,true,false,true,false,0
6,true,false,true,false,0
7,true,true,true,true,0
8,false,false,false,false,3
9,false,false,true,false,1
10,true,true,false,false,4
11,true,true,false,false,4
12,true,true,false,false,4
13,false,false,false,false,3
14,true,false,false,true,5
15,false,true,true,false,4
16,true,false,true,true,5
17,false,true,true,true,5
18,false,false,false,true,5
19,false,false,true,true,5
20,false,false,true,false,1
21,false,false,true,false,1
22,false,false,true,false,1
23,true,true,true,true,1
24,false,false,true,true,5
25,true,true,false,true,5
26,false,false,true,false,1
27,false,true,true,false,4
28,false,false,false,true,5
29,true,false,false,true,5
30,false,true,true,true,5
