Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,true,true,3
2,true,false,false,false,2
3,false,false,true,true,5
4,true,true,true,false,4
5,true,false,true,false,0
6,false,true,true,false,4
7,true,true,true,false,4
8,false,true,true,true,4
9,true,false,true,false,0
10,true,false,false,true,5
11,true,true,true,false,4
12,false,false,true,false,1
13,false,true,false,false,4
14,true,true,true,true,4
15,false,false,false,true,5
16,false,true,true,true,5
17,false,true,true,true,5
18,true,true,true,false,4
19,false,true,true,false,4
20,true,false,true,false,0
21,false,false,true,false,1
22,true,true,false,false,4
23,false,false,false,false,3
24,true,true,false,true,3
25,true,true,true,true,3
26,true,false,true,false,0
27,false,false,true,true,5
28,false,false,false,true,5
29,true,false,false,true,5
30,true,true,false,true,5
