Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,true,5
2,true,true,true,false,4
3,true,true,true,true,4
4,false,true,true,true,4
5,true,true,false,true,4
6,true,true,false,true,4
7,false,false,true,false,1
8,true,true,false,false,4
9,false,false,true,false,1
10,true,true,true,true,1
11,true,true,false,true,1
12,false,true,true,false,4
13,true,false,false,false,2
14,false,true,false,false,4
15,true,true,true,true,4
16,true,false,false,false,2
17,false,false,false,false,3
18,false,false,true,true,5
19,true,false,true,false,0
20,false,false,true,true,5
21,true,false,false,false,2
22,false,true,true,true,2
23,true,false,false,false,2
24,false,false,false,false,3
25,true,false,false,true,5
26,false,true,false,false,4
27,false,false,false,false,3
28,false,false,false,true,5
