Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,false,4
2,false,true,false,false,4
3,true,true,true,false,4
4,false,false,false,true,5
5,true,true,true,true,5
6,true,false,false,true,5
7,false,true,true,false,4
8,true,false,true,false,0
9,true,true,false,true,0
10,false,true,false,false,4
11,false,false,false,false,3
12,true,false,true,true,5
13,true,true,true,true,5
14,false,true,true,true,5
15,true,true,true,false,4
16,false,false,true,false,1
17,false,true,true,true,1
18,false,true,true,false,4
