Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,false,false,true,false,1
3,false,false,true,true,5
4,true,true,false,false,4
5,false,true,false,false,4
6,false,false,true,true,5
7,false,false,false,false,3
8,true,false,false,false,2
9,true,true,true,true,2
10,false,false,false,false,3
11,false,false,false,true,5
12,false,true,false,false,4
13,false,false,true,false,1
14,true,true,true,false,4
15,false,false,false,false,3
16,true,true,true,false,4
17,true,false,false,true,5
