Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,false,4
2,false,true,true,false,4
3,true,false,false,true,5
4,false,true,false,false,4
5,false,true,true,true,4
6,false,false,true,false,1
7,true,true,true,true,1
8,false,true,true,true,1
9,true,true,true,false,4
10,false,false,false,true,5
11,false,true,false,true,5
12,false,false,false,true,5
13,false,false,false,true,5
14,false,false,true,false,1
15,true,false,false,true,5
16,false,false,false,false,3
17,false,false,false,false,3
18,false,true,true,false,4
19,true,false,false,false,2
20,true,false,false,true,5
21,false,false,true,true,5
22,true,false,true,false,0
23,true,false,false,true,5
24,true,false,false,true,5
25,false,false,false,true,5
26,false,true,false,true,5
27,true,false,true,true,5
28,true,true,true,true,5
29,false,true,true,false,4
30,false,false,true,false,1
31,true,true,false,true,1
