Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,false,2
2,true,true,false,true,2
3,false,false,true,true,5
4,false,false,false,false,3
5,false,false,false,false,3
6,true,false,false,true,5
7,false,false,true,false,1
8,true,true,true,false,4
9,true,false,true,false,0
10,true,false,true,true,5
11,false,true,true,true,5
12,false,false,true,true,5
13,true,false,true,false,0
14,true,true,true,true,0
15,true,false,false,true,5
16,true,false,true,false,0
17,true,true,false,false,4
18,true,true,true,false,4
19,false,false,false,true,5
20,true,true,true,true,5
21,false,false,true,false,1
22,true,false,true,false,0
23,true,true,false,false,4
24,true,false,true,false,0
25,true,true,false,true,0
26,false,true,false,false,4
27,false,true,false,true,4
28,false,true,true,false,4
29,true,true,false,true,4
30,false,true,true,false,4
31,false,true,false,false,4
32,false,false,false,false,3
33,false,true,false,false,4
34,false,false,false,false,3
