Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,true,true,3
2,true,false,true,false,0
3,true,true,false,true,0
4,true,true,true,false,4
5,false,true,false,false,4
6,true,false,true,false,0
7,true,true,false,true,0
8,true,false,true,true,5
9,true,true,true,false,4
10,true,false,false,false,2
11,true,false,false,true,5
12,false,false,false,false,3
13,false,true,true,true,3
14,true,true,true,false,4
15,true,false,false,false,2
16,false,true,true,false,4
17,true,true,true,true,4
18,true,true,true,false,4
19,true,true,true,false,4
20,false,true,true,false,4
21,false,false,false,true,5
