Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,true,3
2,true,true,true,true,3
3,false,true,true,false,4
4,true,false,false,true,5
5,true,false,false,false,2
6,true,false,true,true,5
7,true,false,true,true,5
8,true,false,false,true,5
9,true,false,true,true,5
10,true,false,false,false,2
11,false,false,true,true,5
12,false,true,false,false,4
13,false,false,false,true,5
14,true,false,false,true,5
15,false,false,false,false,3
16,false,false,true,true,5
17,false,true,true,true,5
18,true,true,true,false,4
19,true,false,true,false,0
20,false,false,true,true,5
21,false,true,true,false,4
22,true,false,false,false,2
23,false,false,false,true,5
24,false,true,false,false,4
25,true,true,false,true,4
26,false,true,false,true,4
27,false,false,false,false,3
28,false,false,false,true,5
29,true,true,true,true,5
