Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,true,5
2,true,false,true,false,0
3,true,false,false,false,2
4,false,false,true,false,1
5,false,false,false,false,3
6,true,false,true,false,0
7,true,false,true,false,0
8,false,false,false,true,5
9,false,true,false,true,5
10,false,false,true,true,5
11,false,true,false,true,5
12,false,true,false,false,4
13,true,true,true,false,4
14,true,true,true,true,4
15,false,true,false,false,4
16,false,false,false,true,5
17,false,false,false,true,5
18,true,true,false,true,5
19,true,true,true,true,5
20,false,true,false,false,4
21,false,false,false,true,5
22,true,true,true,true,5
23,false,true,true,true,5
24,true,true,false,false,4
25,false,true,true,false,4
26,true,false,false,true,5
27,false,true,true,false,4
28,true,true,true,true,4
