Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,false,true,true,true,3
3,false,false,false,true,5
4,true,false,false,true,5
5,false,true,false,false,4
6,false,false,true,false,1
7,false,false,false,false,3
8,true,false,false,true,5
9,false,true,false,true,5
10,false,true,true,false,4
11,false,false,false,true,5
12,true,false,true,true,5
13,false,true,false,false,4
14,false,false,true,true,5
15,false,true,true,true,5
16,true,false,true,false,0
17,false,false,false,false,3
18,true,false,true,true,5
19,true,true,false,true,5
20,false,false,true,true,5
21,false,true,true,true,5
22,true,true,true,true,5
23,true,false,true,false,0
24,false,false,false,false,3
25,false,true,false,false,4
