Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,false,false,3
2,true,false,false,true,5
3,false,true,true,true,5
4,false,true,false,true,5
5,true,true,false,false,4
6,true,true,true,false,4
7,true,false,true,true,5
8,true,true,false,true,5
9,false,false,true,false,1
10,true,false,true,false,0
11,true,false,false,false,2
12,false,false,false,true,5
13,true,true,true,false,4
14,true,true,true,false,4
15,true,false,true,false,0
16,true,true,true,true,0
17,true,false,false,true,5
18,false,true,true,true,5
19,false,true,true,false,4
20,true,false,true,true,5
21,true,false,true,true,5
22,true,true,false,false,4
23,false,false,false,false,3
24,true,true,false,false,4
