Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,true,5
2,false,true,false,true,5
3,true,true,false,true,5
4,true,false,false,false,2
5,true,false,false,false,2
6,true,true,true,true,2
7,true,true,true,true,2
8,true,false,false,true,5
9,true,true,false,true,5
10,false,false,true,false,1
11,true,true,true,true,1
12,true,true,true,false,4
13,false,true,true,true,4
14,false,false,true,true,5
15,true,false,false,true,5
16,false,true,false,false,4
17,false,true,false,false,4
