Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,false,true,5
2,false,false,false,true,5
3,false,false,true,false,1
4,true,false,false,true,5
5,false,false,true,true,5
6,false,true,false,true,5
7,false,true,true,false,4
8,false,true,true,true,4
9,true,false,false,false,2
10,false,false,true,true,5
11,false,true,false,true,5
12,true,false,true,false,0
13,false,true,true,false,4
14,true,true,true,false,4
15,false,true,false,false,4
16,true,false,false,false,2
17,true,true,false,false,4
18,false,false,false,false,3
19,false,true,false,true,3
20,true,true,true,true,3
21,false,true,false,false,4
22,true,true,true,false,4
23,false,false,false,true,5
24,true,false,false,false,2
25,false,true,false,true,2
26,true,false,true,false,0
27,true,true,true,false,4
28,true,true,false,true,4
29,false,false,true,true,5
30,false,true,false,false,4
31,true,true,false,false,4
32,true,true,false,true,4
33,false,false,false,true,5
34,true,false,false,false,2
35,false,false,true,true,5
36,false,true,false,true,5
37,true,false,true,false,0
