Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,false,2
2,true,false,false,true,5
3,false,true,true,true,5
4,false,false,true,true,5
5,true,false,true,true,5
6,true,true,false,false,4
7,false,true,false,false,4
8,true,false,true,true,5
9,false,false,false,false,3
10,true,false,true,false,0
11,true,false,true,true,5
12,true,true,true,false,4
13,false,true,true,true,4
14,true,true,true,false,4
15,false,true,false,true,4
16,true,true,true,false,4
17,true,true,true,false,4
18,false,false,true,true,5
19,true,true,false,true,5
20,true,false,false,false,2
21,false,true,true,false,4
22,true,true,true,true,4
23,false,true,false,true,4
