Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,false,4
2,false,true,true,false,4
3,true,false,false,true,5
4,true,false,false,false,2
5,true,false,false,true,5
6,false,true,true,true,5
7,false,false,false,true,5
8,true,true,true,false,4
9,true,false,true,true,5
10,false,false,true,true,5
11,false,true,true,true,5
12,false,true,false,false,4
13,true,true,true,true,4
14,false,false,false,false,3
15,true,true,true,false,4
16,true,true,false,true,4
17,true,false,false,true,5
18,true,true,true,false,4
19,true,true,false,true,4
20,false,true,true,false,4
21,false,true,true,true,4
22,false,false,false,false,3
23,false,true,true,false,4
24,true,true,false,false,4
25,false,false,false,false,3
26,true,false,false,true,5
27,true,true,true,true,5
28,true,true,false,true,5
29,false,false,true,false,1
30,true,false,true,false,0
31,false,false,true,false,1
32,true,false,false,false,2
33,true,false,true,true,5
34,false,true,false,true,5
35,false,true,true,false,4
36,true,false,true,false,0
37,false,false,false,true,5
