Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,true,5
2,true,false,false,true,5
3,true,false,true,false,0
4,true,false,false,true,5
5,true,false,true,true,5
6,false,true,false,false,4
7,false,false,false,true,5
8,true,false,false,false,2
9,true,false,true,false,0
10,true,false,true,false,0
11,false,true,false,false,4
12,false,false,false,false,3
13,true,false,true,false,0
14,false,true,false,true,0
15,false,true,false,true,0
16,false,false,false,true,5
17,false,true,true,false,4
18,true,true,false,false,4
19,false,false,false,false,3
20,false,false,false,false,3
21,true,true,true,false,4
22,false,true,false,false,4
23,false,false,false,true,5
24,true,true,true,true,5
25,true,false,false,true,5
26,true,false,true,true,5
27,true,false,true,true,5
