Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,true,true,3
2,false,false,false,false,3
3,true,true,false,false,4
4,true,true,false,true,4
5,false,false,true,true,5
6,true,false,true,true,5
7,false,false,false,true,5
8,false,false,true,false,1
9,true,false,true,false,0
10,false,false,true,true,5
11,false,false,true,false,1
12,true,false,true,false,0
13,true,true,true,false,4
14,false,false,false,true,5
15,true,true,false,false,4
16,true,true,true,true,4
17,true,false,true,true,5
18,true,true,true,true,5
19,false,false,true,false,1
20,true,false,false,false,2
21,false,true,false,false,4
22,true,false,false,true,5
23,true,true,true,true,5
24,false,true,false,false,4
25,false,true,true,true,4
26,true,false,false,true,5
27,true,false,false,false,2
28,true,true,false,true,2
29,false,false,true,true,5
30,true,false,false,false,2
