Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,false,4
2,false,false,true,false,1
3,true,true,true,false,4
4,true,true,false,false,4
5,true,true,true,true,4
6,false,true,false,false,4
7,true,true,true,false,4
8,true,true,true,true,4
9,false,true,false,false,4
10,true,true,true,false,4
11,true,true,true,false,4
12,false,true,false,true,4
13,true,true,false,true,4
14,false,true,false,true,4
15,false,true,false,true,4
16,true,true,false,true,4
17,true,false,true,true,5
18,true,false,false,true,5
19,false,false,false,false,3
20,true,false,false,true,5
21,true,false,true,true,5
22,true,true,false,false,4
23,true,false,true,false,0
24,true,false,true,true,5
25,false,false,true,false,1
26,true,false,false,false,2
27,true,false,false,false,2
28,true,true,false,true,2
29,false,true,false,true,2
30,false,true,false,false,4
31,false,true,false,true,4
32,true,true,false,true,4
33,false,true,false,false,4
34,false,true,false,false,4
35,true,true,false,true,4
36,false,false,false,true,5
37,true,true,true,true,5
38,false,false,true,true,5
39,true,false,false,true,5
40,false,true,false,true,5
41,true,false,false,true,5
42,false,true,false,true,5
43,false,true,true,false,4
44,true,false,true,true,5
45,true,true,false,true,5
46,true,false,true,false,0
47,true,false,false,false,2
48,true,true,false,false,4
49,true,false,true,true,5
50,false,true,false,true,5
51,false,true,false,false,4
52,true,true,true,false,4
53,false,true,false,false,4
54,false,true,true,false,4
55,true,true,true,false,4
56,false,true,true,true,4
57,true,false,false,true,5
