Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,true,false,4
2,true,false,true,true,5
3,true,false,true,false,0
4,false,true,false,false,4
5,false,false,true,true,5
6,true,true,true,true,5
7,true,false,false,false,2
8,true,true,true,false,4
9,true,true,false,false,4
10,false,false,true,false,1
11,false,true,false,true,1
12,false,true,true,true,1
13,true,false,true,false,0
14,true,true,false,true,0
15,true,true,true,true,0
16,true,true,false,false,4
17,true,false,false,true,5
18,true,false,false,true,5
19,false,true,false,false,4
20,false,false,true,true,5
21,false,true,false,false,4
22,false,false,false,true,5
23,true,true,true,true,5
24,true,true,true,true,5
25,true,false,true,false,0
26,false,true,false,false,4
27,false,true,true,true,4
28,false,true,true,false,4
29,true,false,false,true,5
