Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,false,4
2,false,false,false,true,5
3,false,true,false,false,4
4,true,true,true,false,4
5,false,true,false,false,4
6,false,false,false,false,3
7,false,true,false,false,4
8,true,false,true,true,5
9,true,true,false,true,5
10,false,false,true,true,5
11,false,true,true,true,5
12,false,true,false,true,5
13,true,true,true,false,4
14,true,false,true,true,5
15,true,true,false,false,4
16,true,true,false,true,4
17,true,false,false,true,5
18,false,false,false,true,5
19,false,false,false,true,5
20,false,false,false,true,5
21,false,true,true,false,4
22,false,true,false,false,4
23,true,false,false,false,2
24,true,true,true,true,2
25,true,false,false,false,2
26,true,false,true,false,0
27,false,false,true,false,1
28,false,true,false,false,4
29,true,true,false,true,4
30,true,true,false,true,4
31,true,true,true,false,4
32,false,false,true,true,5
33,true,true,false,false,4
34,true,false,true,true,5
35,true,false,true,true,5
36,true,false,true,false,0
