Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,true,false,false,true,5
3,true,true,true,false,4
4,true,false,false,false,2
5,false,false,true,true,5
6,false,true,true,false,4
7,false,true,true,true,4
8,true,false,false,false,2
9,true,true,true,false,4
10,false,true,true,false,4
11,false,false,true,true,5
12,false,true,false,false,4
13,true,true,true,true,4
14,true,true,true,false,4
15,false,true,false,false,4
16,true,true,true,false,4
17,true,true,false,true,4
18,true,true,true,false,4
19,false,true,true,true,4
20,false,true,false,true,4
21,true,true,false,true,4
22,true,true,false,true,4
23,false,true,false,false,4
24,false,false,true,true,5
25,true,true,false,true,5
26,false,false,false,true,5
27,true,false,false,true,5
28,false,false,true,true,5
29,true,true,false,true,5
30,false,true,true,false,4
31,true,false,false,true,5
32,true,false,false,false,2
33,false,true,false,true,2
34,false,false,true,false,1
35,true,false,false,true,5
36,false,true,false,false,4
37,false,true,true,false,4
38,false,false,false,false,3
