Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,true,3
2,true,true,false,false,4
3,true,false,true,false,0
4,true,false,false,true,5
5,true,true,false,false,4
6,true,true,false,false,4
7,true,false,true,true,5
8,true,true,true,true,5
9,false,true,true,true,5
10,false,true,true,false,4
11,true,false,true,false,0
12,true,false,true,false,0
13,true,true,true,true,0
14,false,true,true,true,0
15,false,true,false,false,4
