Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,true,5
2,false,false,true,false,1
3,false,true,false,false,4
4,false,false,false,true,5
5,true,false,true,false,0
6,false,false,false,false,3
7,false,false,true,false,1
8,false,false,true,false,1
9,false,false,false,false,3
10,false,true,true,true,3
11,false,true,true,false,4
12,false,true,true,true,4
13,true,false,false,false,2
14,true,false,false,true,5
15,true,false,false,false,2
16,true,false,true,true,5
17,false,true,true,true,5
18,false,true,true,true,5
19,false,false,true,true,5
20,false,false,true,true,5
21,false,true,true,true,5
22,false,true,true,false,4
23,false,true,true,false,4
24,true,false,true,false,0
25,false,true,true,true,0
26,false,true,true,false,4
