Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,true,3
2,true,false,true,true,5
3,false,false,false,true,5
4,false,false,true,false,1
5,false,false,false,true,5
6,true,false,false,true,5
7,false,false,false,true,5
8,true,true,false,true,5
9,false,true,true,false,4
10,false,true,false,true,4
11,true,false,false,true,5
12,false,true,true,true,5
13,false,false,false,false,3
14,true,true,true,false,4
