Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,false,4
2,true,false,false,true,5
3,false,true,true,true,5
4,false,true,false,true,5
5,false,false,false,false,3
6,false,false,true,true,5
7,true,true,false,true,5
8,false,true,true,false,4
9,true,false,false,false,2
10,true,false,false,true,5
11,true,true,false,true,5
12,false,false,true,false,1
13,true,true,true,true,1
14,true,false,true,true,5
15,true,true,false,true,5
16,false,true,true,false,4
17,false,false,false,true,5
18,false,true,false,true,5
