Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,false,4
2,false,true,true,false,4
3,false,false,false,false,3
4,true,false,false,false,2
5,true,false,true,true,5
6,false,true,false,true,5
7,true,true,true,false,4
8,false,true,false,false,4
9,false,true,true,true,4
10,true,false,false,false,2
11,true,true,true,false,4
12,false,false,false,false,3
13,false,false,false,true,5
14,true,false,false,false,2
15,false,false,true,true,5
16,false,false,false,false,3
17,true,false,false,false,2
18,true,false,true,false,0
19,true,true,true,false,4
20,true,false,true,false,0
21,true,true,false,true,0
22,true,false,true,true,5
23,true,false,false,true,5
24,false,false,false,false,3
25,true,true,false,false,4
26,true,false,true,false,0
27,false,false,true,false,1
28,true,true,true,false,4
