Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,true,3
2,false,true,false,false,4
3,true,false,false,true,5
4,false,true,false,true,5
5,false,true,true,true,5
6,false,true,false,false,4
7,false,true,true,true,4
8,true,true,false,true,4
9,false,false,true,true,5
10,false,true,false,false,4
11,true,true,false,false,4
12,true,true,true,true,4
13,false,true,true,true,4
14,true,true,false,true,4
15,true,true,true,false,4
16,true,false,true,false,0
17,false,true,false,false,4
18,true,true,false,false,4
