Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,true,3
2,true,true,true,false,4
3,false,true,true,true,4
4,true,false,true,true,5
5,false,false,false,false,3
6,false,false,false,true,5
7,false,false,false,true,5
8,false,false,false,true,5
9,false,false,false,false,3
10,true,false,true,true,5
11,false,true,false,true,5
12,true,true,true,false,4
13,false,true,false,true,4
14,true,true,false,false,4
15,false,false,true,false,1
