Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,false,false,true,true,5
3,true,true,false,false,4
4,false,false,true,true,5
5,true,true,false,true,5
6,false,false,false,false,3
7,false,true,true,false,4
8,false,true,false,true,4
9,true,true,true,false,4
10,true,true,true,false,4
11,false,false,true,true,5
12,true,true,true,true,5
13,true,false,false,true,5
14,false,false,true,true,5
15,true,false,true,false,0
16,false,true,false,false,4
17,false,false,true,true,5
18,false,false,true,true,5
19,true,true,true,true,5
20,true,false,false,false,2
21,true,false,false,true,5
22,true,true,false,false,4
23,false,false,true,true,5
24,true,false,false,true,5
25,true,false,true,false,0
26,false,false,true,false,1
27,true,false,true,true,5
28,true,false,true,false,0
29,false,false,false,false,3
30,false,false,true,true,5
31,true,true,false,false,4
32,false,false,true,true,5
33,true,false,true,true,5
34,true,true,false,true,5
35,false,true,true,false,4
36,false,false,false,false,3
37,true,false,true,true,5
38,false,false,false,false,3
39,true,false,true,true,5
