Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,false,1
2,false,true,false,false,4
3,true,false,true,true,5
4,true,true,true,true,5
5,true,true,true,false,4
6,false,false,true,true,5
7,true,true,true,false,4
8,false,true,true,true,4
9,true,true,false,false,4
10,true,true,false,false,4
11,false,false,true,false,1
12,true,false,false,true,5
13,true,false,false,true,5
14,false,false,true,false,1
15,true,true,false,true,1
16,true,true,false,true,1
17,false,true,false,true,1
18,true,true,false,true,1
19,true,false,false,false,2
20,true,true,false,false,4
21,false,false,false,false,3
22,true,true,false,true,3
23,false,false,false,false,3
24,false,false,true,true,5
25,true,true,true,false,4
26,false,true,false,true,4
27,false,false,true,true,5
28,false,false,false,true,5
29,false,false,true,false,1
30,false,true,false,true,1
31,true,false,true,true,5
32,false,false,true,true,5
33,false,true,false,true,5
34,false,false,true,false,1
35,false,false,true,false,1
36,true,true,false,true,1
37,false,false,true,true,5
38,true,true,true,false,4
39,false,true,true,false,4
40,false,false,true,true,5
41,true,true,false,true,5
