Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,true,true,true,true,3
3,true,false,true,true,5
4,false,false,false,false,3
5,true,false,false,false,2
6,false,true,false,false,4
7,true,false,false,true,5
8,false,true,false,false,4
9,true,false,true,false,0
10,true,false,false,true,5
11,false,true,true,true,5
12,true,false,false,false,2
13,false,true,false,true,2
14,false,false,true,true,5
15,false,true,false,false,4
16,false,true,true,false,4
17,false,true,true,true,4
18,false,false,false,true,5
19,true,true,true,true,5
20,true,true,true,true,5
21,false,true,false,false,4
22,false,true,false,false,4
23,false,false,true,false,1
24,false,false,true,true,5
25,true,false,true,false,0
26,true,false,true,true,5
27,false,false,false,true,5
28,true,false,false,true,5
29,true,true,true,true,5
30,false,true,false,true,5
31,false,true,false,true,5
