Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,false,2
2,true,false,true,false,0
3,true,false,false,true,5
4,false,false,false,false,3
5,false,true,false,false,4
6,true,true,true,false,4
7,true,true,true,true,4
8,true,false,false,false,2
9,true,true,true,true,2
10,false,false,true,true,5
11,true,true,true,false,4
12,false,false,true,true,5
13,false,false,true,true,5
14,true,true,true,true,5
15,false,false,true,true,5
16,false,false,false,true,5
17,true,true,false,false,4
