Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,true,5
2,false,true,false,false,4
3,true,false,true,true,5
4,true,false,true,true,5
5,true,true,true,false,4
6,true,true,false,false,4
7,false,true,false,true,4
8,false,true,false,false,4
9,false,true,true,false,4
10,false,true,false,true,4
11,false,false,false,true,5
12,false,false,true,false,1
13,true,true,true,false,4
14,false,false,false,true,5
15,false,true,true,true,5
16,true,true,true,true,5
17,false,true,false,true,5
18,false,false,true,false,1
19,true,true,false,false,4
20,true,false,false,true,5
21,true,false,false,true,5
22,true,false,false,false,2
23,false,false,false,false,3
