Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,true,true,false,false,4
3,true,false,false,false,2
4,false,false,true,false,1
5,false,true,true,false,4
6,false,true,false,false,4
7,true,false,false,true,5
8,true,false,true,true,5
9,true,true,true,true,5
10,false,true,false,false,4
11,true,true,false,true,4
12,true,false,true,true,5
13,true,true,true,true,5
14,true,false,true,true,5
15,false,true,false,false,4
16,false,false,false,true,5
17,false,false,true,true,5
18,true,true,true,false,4
19,false,true,false,true,4
20,false,true,true,true,4
21,true,false,false,false,2
22,true,false,true,true,5
23,false,false,true,false,1
24,true,false,true,true,5
25,true,true,false,true,5
26,false,true,true,false,4
27,true,true,false,true,4
28,true,false,true,false,0
29,false,true,false,false,4
30,true,false,false,true,5
31,true,false,true,false,0
32,true,true,false,false,4
33,true,true,true,false,4
34,true,true,true,true,4
35,false,false,false,true,5
36,false,false,true,false,1
37,true,false,false,false,2
38,false,false,false,false,3
39,false,false,false,true,5
