Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,false,2
2,false,false,true,false,1
3,true,true,false,false,4
4,true,false,false,true,5
5,true,true,true,true,5
6,false,false,true,false,1
7,false,true,false,true,1
8,false,false,false,true,5
9,false,true,false,true,5
10,false,true,true,true,5
11,false,true,false,true,5
12,false,true,true,false,4
13,true,false,false,true,5
14,true,true,true,false,4
15,true,false,true,true,5
16,true,true,false,false,4
17,true,true,true,true,4
18,true,false,false,false,2
19,false,false,true,false,1
20,true,true,false,false,4
21,true,false,true,false,0
22,true,true,true,true,0
23,true,true,false,false,4
24,false,false,true,true,5
25,false,true,true,true,5
26,false,false,true,true,5
