Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,true,3
2,true,false,true,false,0
3,false,false,true,true,5
4,false,true,true,false,4
5,true,false,true,true,5
6,true,false,true,true,5
7,false,false,true,false,1
8,true,false,true,false,0
9,true,false,true,false,0
10,true,false,true,true,5
11,true,false,false,true,5
12,false,true,true,false,4
13,true,true,false,false,4
14,true,false,false,false,2
15,false,false,false,false,3
16,true,true,false,false,4
17,true,true,false,true,4
18,true,false,false,false,2
19,true,false,false,false,2
20,true,false,true,false,0
21,false,false,true,true,5
22,false,false,true,false,1
23,false,true,false,false,4
24,false,true,true,true,4
25,false,false,false,true,5
26,false,true,false,true,5
27,true,true,true,true,5
28,false,true,true,true,5
29,false,false,true,true,5
30,false,false,true,false,1
31,false,false,false,false,3
32,false,false,false,true,5
33,true,true,true,false,4
34,false,true,false,true,4
35,false,true,true,true,4
36,true,true,true,false,4
37,false,true,true,true,4
38,false,true,false,false,4
39,true,true,false,false,4
40,true,true,false,true,4
41,false,true,false,false,4
