Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,true,3
2,true,true,false,true,3
3,true,false,false,true,5
4,false,false,false,false,3
5,false,false,true,true,5
6,true,false,false,false,2
7,false,false,false,true,5
8,true,true,false,false,4
9,false,true,false,true,4
10,true,false,false,true,5
11,false,false,true,true,5
12,false,false,false,true,5
13,false,false,false,false,3
14,false,true,true,true,3
15,false,false,false,true,5
16,false,false,false,true,5
17,false,false,false,false,3
