Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,false,true,5
2,true,true,false,true,5
3,true,true,false,true,5
4,true,true,false,true,5
5,true,false,true,true,5
6,true,false,false,false,2
7,true,false,false,true,5
8,false,false,false,true,5
9,false,true,true,true,5
10,false,false,true,true,5
11,true,false,true,true,5
12,true,true,false,false,4
13,true,true,true,true,4
14,false,false,true,true,5
15,false,true,false,false,4
16,false,true,false,false,4
17,false,true,false,false,4
18,false,true,true,false,4
