Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,true,true,false,false,4
3,false,true,false,false,4
4,true,false,false,false,2
5,true,false,false,false,2
6,false,false,false,true,5
7,true,true,true,false,4
8,false,false,false,false,3
9,true,true,false,false,4
10,true,true,true,true,4
11,false,true,false,false,4
12,false,true,true,false,4
13,false,false,true,false,1
14,true,true,true,false,4
15,true,false,false,false,2
16,false,true,false,true,2
17,false,true,false,true,2
18,true,true,true,false,4
19,true,false,true,false,0
20,false,false,false,false,3
21,true,true,true,true,3
22,true,true,false,true,3
23,false,true,true,false,4
24,false,true,false,false,4
25,false,true,true,false,4
26,true,false,false,true,5
27,true,false,true,false,0
28,true,false,true,false,0
29,false,false,false,true,5
30,true,false,true,false,0
31,false,true,true,false,4
32,true,false,false,false,2
33,false,false,true,false,1
34,true,true,false,false,4
35,true,true,true,false,4
36,true,false,false,false,2
37,false,true,false,false,4
38,false,false,true,false,1
39,false,true,false,false,4
40,false,true,true,false,4
41,true,true,false,false,4
42,true,true,false,false,4
43,false,true,false,false,4
