Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,true,3
2,false,true,false,true,3
3,false,false,true,true,5
4,false,true,true,false,4
5,false,false,false,true,5
6,false,true,false,true,5
7,true,true,false,false,4
8,false,true,false,false,4
9,false,false,true,true,5
10,true,false,false,true,5
11,true,false,true,false,0
12,true,false,true,true,5
13,true,true,false,false,4
14,true,true,true,false,4
15,false,true,false,true,4
16,true,false,true,true,5
17,false,false,true,true,5
18,true,false,true,false,0
19,true,false,false,true,5
20,true,false,false,true,5
