Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,false,true,true,true,0
3,true,true,true,false,4
4,true,true,false,false,4
5,false,true,false,false,4
6,false,false,true,false,1
7,false,false,false,false,3
8,true,false,true,true,5
9,false,true,false,false,4
10,true,false,false,true,5
11,false,false,false,false,3
12,true,true,false,true,3
13,true,false,true,false,0
14,false,false,false,false,3
15,true,true,false,false,4
16,false,true,false,false,4
17,true,false,false,true,5
18,false,false,true,true,5
19,true,true,true,true,5
20,false,false,false,false,3
21,false,true,false,true,3
22,true,true,false,false,4
23,true,false,false,true,5
24,true,true,true,false,4
25,false,false,false,true,5
26,false,true,true,false,4
27,true,true,true,false,4
28,true,false,false,true,5
29,true,false,false,true,5
30,false,false,false,false,3
31,true,true,false,false,4
32,false,true,false,false,4
33,true,false,false,false,2
34,false,false,false,false,3
35,false,true,true,true,3
36,true,false,false,false,2
37,true,false,false,true,5
38,false,false,false,true,5
39,true,true,false,true,5
40,false,true,false,false,4
41,true,true,false,false,4
42,false,true,true,false,4
43,true,false,false,true,5
