Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,true,5
2,true,true,true,false,4
3,false,false,true,true,5
4,true,true,false,true,5
5,true,false,false,true,5
6,true,false,false,false,2
7,false,true,false,true,2
8,false,true,false,false,4
9,false,false,true,false,1
10,false,false,false,false,3
11,true,false,false,false,2
12,false,true,false,true,2
13,true,true,false,true,2
14,false,true,true,false,4
15,true,true,false,true,4
16,false,false,true,false,1
17,true,true,false,false,4
18,true,false,true,true,5
19,false,true,true,true,5
20,true,true,true,true,5
21,true,true,true,false,4
22,false,false,true,true,5
23,false,false,false,true,5
24,true,false,true,false,0
25,false,true,true,false,4
