Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,true,false,false,4
2,true,true,false,false,4
3,false,false,false,false,3
4,false,false,false,false,3
5,true,false,false,false,2
6,true,true,true,false,4
7,true,true,false,true,4
8,true,true,true,false,4
9,false,false,true,false,1
10,false,true,false,false,4
11,false,false,false,false,3
12,false,true,true,true,3
13,false,false,true,false,1
14,true,true,false,false,4
15,true,false,false,false,2
16,true,false,false,true,5
17,true,true,false,true,5
18,true,false,false,false,2
19,true,true,false,true,2
20,false,true,false,false,4
21,true,false,false,true,5
22,false,true,false,true,5
23,true,true,false,false,4
24,true,true,false,false,4
25,false,false,true,false,1
26,false,true,false,false,4
27,true,true,true,true,4
28,true,false,false,true,5
29,false,false,false,false,3
