Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,false,1
2,true,true,false,true,1
3,false,false,false,true,5
4,true,true,false,false,4
5,true,false,true,true,5
6,false,false,true,true,5
7,false,false,true,true,5
8,false,true,false,true,5
9,true,false,true,false,0
10,true,true,true,false,4
11,true,true,true,true,4
12,false,false,false,false,3
13,true,false,true,true,5
14,false,false,false,false,3
15,false,false,false,false,3
16,false,true,true,false,4
17,false,true,true,false,4
18,false,true,true,false,4
19,false,true,false,false,4
20,false,true,true,false,4
21,true,true,true,false,4
22,false,false,true,false,1
23,true,true,false,true,1
