Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,false,2
2,true,false,true,true,5
3,true,true,false,false,4
4,true,true,true,true,4
5,false,true,true,false,4
6,true,true,false,true,4
7,false,true,false,true,4
8,true,false,true,true,5
9,false,true,true,true,5
10,true,false,false,true,5
11,false,true,false,false,4
12,false,true,true,true,4
13,false,false,false,false,3
14,false,false,false,false,3
15,false,true,true,true,3
16,false,true,true,false,4
17,false,true,false,true,4
18,true,false,false,true,5
19,true,false,false,true,5
20,true,true,true,true,5
21,true,false,false,true,5
22,true,false,false,false,2
23,false,true,true,false,4
24,true,false,false,true,5
25,false,true,false,false,4
26,false,true,false,true,4
27,true,true,false,false,4
28,false,false,false,true,5
29,false,true,false,false,4
