Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,true,5
2,false,false,true,false,1
3,false,true,true,true,1
4,false,false,true,true,5
5,true,false,false,false,2
6,true,false,false,true,5
7,false,false,true,false,1
8,true,false,false,false,2
9,true,false,false,false,2
10,true,true,true,true,2
11,false,false,false,false,3
12,false,true,true,false,4
13,true,true,false,true,4
14,false,false,true,true,5
15,true,true,true,true,5
16,false,false,true,true,5
17,false,true,true,false,4
18,false,false,true,true,5
19,false,true,false,false,4
20,false,false,false,true,5
21,false,false,false,true,5
22,true,false,true,false,0
23,true,true,false,false,4
24,true,false,false,false,2
25,false,true,true,false,4
26,true,true,false,false,4
27,false,true,false,true,4
28,false,false,false,false,3
29,true,true,true,true,3
30,true,true,true,true,3
