Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,true,true,false,true,0
3,true,false,false,true,5
4,true,false,true,true,5
5,false,true,true,true,5
6,true,false,false,false,2
7,false,true,false,true,2
8,false,true,false,true,2
9,true,true,true,true,2
10,false,true,true,true,2
11,false,true,true,false,4
12,true,true,false,true,4
13,false,false,false,false,3
14,true,false,false,true,5
15,false,false,true,true,5
16,true,false,true,true,5
17,false,false,false,true,5
18,false,true,true,true,5
19,true,false,false,true,5
20,false,true,false,true,5
21,true,false,false,true,5
22,true,true,true,false,4
23,false,true,false,true,4
24,true,true,true,false,4
25,false,false,false,false,3
26,true,false,true,false,0
27,false,false,true,true,5
