Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,false,true,5
2,false,false,false,true,5
3,false,false,false,false,3
4,true,true,true,false,4
5,false,false,false,true,5
6,false,true,false,true,5
7,true,true,true,false,4
8,false,false,false,true,5
9,true,true,true,true,5
10,false,true,false,true,5
11,true,true,false,true,5
12,false,false,true,false,1
13,true,true,false,true,1
14,true,true,false,true,1
15,false,false,true,true,5
16,true,true,false,true,5
17,true,false,false,true,5
18,true,true,false,true,5
19,true,false,false,false,2
20,false,false,false,false,3
21,false,false,false,false,3
22,false,false,false,true,5
23,true,true,true,false,4
