Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,false,false,true,false,1
2,false,false,false,true,5
3,false,false,false,true,5
4,true,false,false,true,5
5,false,false,true,false,1
6,false,true,false,false,4
7,true,true,true,true,4
8,false,true,false,false,4
9,true,false,true,false,0
10,true,false,false,false,2
11,true,true,false,false,4
12,true,false,true,true,5
13,false,true,true,true,5
14,true,true,true,true,5
15,false,false,true,true,5
16,false,true,true,true,5
17,false,true,true,false,4
18,true,false,true,false,0
19,false,true,false,false,4
20,true,false,true,true,5
21,true,true,true,true,5
22,false,true,false,false,4
23,false,false,true,true,5
24,true,false,false,false,2
25,false,true,true,true,2
26,true,false,true,false,0
27,true,true,false,true,0
28,true,true,true,true,0
29,true,true,true,true,0
30,true,true,false,false,4
31,true,false,false,true,5
32,true,false,true,true,5
33,true,false,true,false,0
34,true,true,true,false,4
35,true,false,true,false,0
36,true,true,false,true,0
37,true,true,true,false,4
38,false,true,false,false,4
39,true,false,true,false,0
40,true,false,false,true,5
