Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,true,true,false,true,3
3,false,true,true,true,3
4,true,false,false,false,2
5,true,false,false,false,2
6,true,true,false,false,4
7,true,true,false,true,4
8,false,true,false,true,4
9,false,false,false,true,5
10,true,false,false,false,2
11,false,false,false,false,3
12,false,false,true,false,1
13,true,true,false,true,1
14,false,true,false,true,1
15,true,true,false,true,1
16,true,true,true,true,1
17,false,false,true,false,1
18,true,false,false,true,5
19,true,true,true,false,4
20,true,true,false,false,4
21,false,true,true,true,4
22,false,false,true,true,5
23,false,false,true,false,1
24,false,true,false,false,4
25,false,true,false,false,4
26,false,true,true,false,4
27,false,true,false,false,4
28,false,true,true,false,4
29,true,true,false,true,4
30,true,true,true,true,4
31,true,false,true,false,0
32,false,false,false,false,3
33,true,false,true,false,0
34,false,false,false,false,3
35,false,false,true,true,5
36,true,true,false,false,4
37,true,true,true,true,4
38,false,true,false,false,4
39,true,false,false,true,5
40,false,false,false,false,3
41,false,false,false,true,5
42,false,true,false,false,4
43,false,true,true,false,4
44,false,false,true,false,1
45,false,false,true,true,5
46,false,true,true,false,4
