Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,true,true,3
2,true,false,true,false,0
3,true,true,false,true,0
4,true,true,true,true,0
5,true,false,false,false,2
6,false,true,false,false,4
7,true,true,true,false,4
8,false,true,false,true,4
9,true,false,true,true,5
10,false,true,true,false,4
11,false,false,false,false,3
12,true,true,false,true,3
13,true,true,false,false,4
14,true,true,false,true,4
15,false,false,false,true,5
16,false,false,true,true,5
17,false,false,true,false,1
18,false,false,true,false,1
19,true,false,false,false,2
20,false,false,true,false,1
