Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,true,false,true,3
2,true,true,false,false,4
3,false,true,false,true,4
4,false,false,false,false,3
5,true,true,false,true,3
6,true,false,false,false,2
7,true,true,false,false,4
8,true,false,true,false,0
9,true,false,false,true,5
10,true,false,true,false,0
11,false,true,false,true,0
12,false,true,false,false,4
13,false,true,true,true,4
14,true,false,false,true,5
15,true,true,false,false,4
16,false,false,true,true,5
17,true,true,true,false,4
18,false,true,true,false,4
19,false,true,true,false,4
20,false,false,false,false,3
21,true,false,true,true,5
22,false,true,false,false,4
23,true,false,true,true,5
24,true,false,true,false,0
25,true,true,false,true,0
26,false,false,true,true,5
27,false,false,false,false,3
28,true,false,false,true,5
29,true,false,true,false,0
30,true,true,false,true,0
31,false,true,true,true,0
32,false,false,false,true,5
33,false,false,true,true,5
34,false,false,false,true,5
35,true,false,true,true,5
36,true,false,true,true,5
37,false,false,false,true,5
38,true,true,true,false,4
39,true,true,false,true,4
40,true,false,false,true,5
41,true,false,true,false,0
42,true,true,true,true,0
43,false,true,true,true,0
44,true,true,true,true,0
45,false,true,true,true,0
