Time,The_Left_Command,The_Left_Priority_Button,The_Right_Command,The_Right_Priority_Button,The_Command_In_Control_Output
0,false,false,false,false,3
1,true,false,true,false,0
2,true,false,false,true,5
3,false,false,true,false,1
4,false,false,false,true,5
5,true,false,true,true,5
6,true,false,true,true,5
7,false,false,true,true,5
8,false,false,true,false,1
9,true,true,false,false,4
10,false,false,false,false,3
11,false,true,true,true,3
12,true,true,true,false,4
13,false,false,false,true,5
14,true,true,true,false,4
15,true,false,false,true,5
16,true,true,true,false,4
17,false,true,false,true,4
18,true,false,false,false,2
19,true,false,true,false,0
20,true,false,false,false,2
21,true,true,true,true,2
22,true,false,false,true,5
23,true,true,true,true,5
24,false,false,false,true,5
25,false,true,true,true,5
26,true,true,false,true,5
27,true,true,true,true,5
28,false,false,false,true,5
29,true,false,true,false,0
30,true,true,true,true,0
